imagepath,videopath,video_num_frames,video_classes_present,video_name,video_category,video_total_targets,frame_number,frame_num_targets,split
G:\2025-05-14_videos_annotated\images\A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6_49.jpg,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,10,,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,background,0,49,0,train
G:\2025-05-14_videos_annotated\images\A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6_74.jpg,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,10,,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,background,0,74,0,train
G:\2025-05-14_videos_annotated\images\A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6_99.jpg,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,10,,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,background,0,99,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_0.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,0,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_124.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,124,1,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_149.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,149,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_174.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,174,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_199.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,199,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_224.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,224,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_24.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,24,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_49.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,49,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_74.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,74,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_84.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,84,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_87.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,87,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_90.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,90,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_93.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,93,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_96.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,96,0,train
G:\2025-05-14_videos_annotated\images\A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4_99.jpg,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,15,1,A03_0cf9dcc5-bf40-3f97-b31a-ab53c1ad30d4,target,2,99,1,train
G:\2025-05-14_videos_annotated\images\A03_12b32bf3-a048-35ac-9904-7d60cc927312_0.jpg,A03_12b32bf3-a048-35ac-9904-7d60cc927312,10,,A03_12b32bf3-a048-35ac-9904-7d60cc927312,background,0,0,0,train
G:\2025-05-14_videos_annotated\images\A03_12b32bf3-a048-35ac-9904-7d60cc927312_124.jpg,A03_12b32bf3-a048-35ac-9904-7d60cc927312,10,,A03_12b32bf3-a048-35ac-9904-7d60cc927312,background,0,124,0,train
G:\2025-05-14_videos_annotated\images\A03_12b32bf3-a048-35ac-9904-7d60cc927312_149.jpg,A03_12b32bf3-a048-35ac-9904-7d60cc927312,10,,A03_12b32bf3-a048-35ac-9904-7d60cc927312,background,0,149,0,train
G:\2025-05-14_videos_annotated\images\A03_12b32bf3-a048-35ac-9904-7d60cc927312_174.jpg,A03_12b32bf3-a048-35ac-9904-7d60cc927312,10,,A03_12b32bf3-a048-35ac-9904-7d60cc927312,background,0,174,0,train
G:\2025-05-14_videos_annotated\images\A03_12b32bf3-a048-35ac-9904-7d60cc927312_199.jpg,A03_12b32bf3-a048-35ac-9904-7d60cc927312,10,,A03_12b32bf3-a048-35ac-9904-7d60cc927312,background,0,199,0,train
G:\2025-05-14_videos_annotated\images\A03_12b32bf3-a048-35ac-9904-7d60cc927312_224.jpg,A03_12b32bf3-a048-35ac-9904-7d60cc927312,10,,A03_12b32bf3-a048-35ac-9904-7d60cc927312,background,0,224,0,train
G:\2025-05-14_videos_annotated\images\A03_12b32bf3-a048-35ac-9904-7d60cc927312_24.jpg,A03_12b32bf3-a048-35ac-9904-7d60cc927312,10,,A03_12b32bf3-a048-35ac-9904-7d60cc927312,background,0,24,0,train
G:\2025-05-14_videos_annotated\images\A03_12b32bf3-a048-35ac-9904-7d60cc927312_49.jpg,A03_12b32bf3-a048-35ac-9904-7d60cc927312,10,,A03_12b32bf3-a048-35ac-9904-7d60cc927312,background,0,49,0,train
G:\2025-05-14_videos_annotated\images\A03_12b32bf3-a048-35ac-9904-7d60cc927312_74.jpg,A03_12b32bf3-a048-35ac-9904-7d60cc927312,10,,A03_12b32bf3-a048-35ac-9904-7d60cc927312,background,0,74,0,train
G:\2025-05-14_videos_annotated\images\A03_12b32bf3-a048-35ac-9904-7d60cc927312_99.jpg,A03_12b32bf3-a048-35ac-9904-7d60cc927312,10,,A03_12b32bf3-a048-35ac-9904-7d60cc927312,background,0,99,0,train
G:\2025-05-14_videos_annotated\images\A03_08671eeb-546d-34e1-9912-8b7973661117_0.jpg,A03_08671eeb-546d-34e1-9912-8b7973661117,10,,A03_08671eeb-546d-34e1-9912-8b7973661117,background,0,0,0,train
G:\2025-05-14_videos_annotated\images\A03_08671eeb-546d-34e1-9912-8b7973661117_123.jpg,A03_08671eeb-546d-34e1-9912-8b7973661117,10,,A03_08671eeb-546d-34e1-9912-8b7973661117,background,0,123,0,train
G:\2025-05-14_videos_annotated\images\A03_08671eeb-546d-34e1-9912-8b7973661117_148.jpg,A03_08671eeb-546d-34e1-9912-8b7973661117,10,,A03_08671eeb-546d-34e1-9912-8b7973661117,background,0,148,0,train
G:\2025-05-14_videos_annotated\images\A03_08671eeb-546d-34e1-9912-8b7973661117_173.jpg,A03_08671eeb-546d-34e1-9912-8b7973661117,10,,A03_08671eeb-546d-34e1-9912-8b7973661117,background,0,173,0,train
G:\2025-05-14_videos_annotated\images\A03_08671eeb-546d-34e1-9912-8b7973661117_198.jpg,A03_08671eeb-546d-34e1-9912-8b7973661117,10,,A03_08671eeb-546d-34e1-9912-8b7973661117,background,0,198,0,train
G:\2025-05-14_videos_annotated\images\A03_08671eeb-546d-34e1-9912-8b7973661117_223.jpg,A03_08671eeb-546d-34e1-9912-8b7973661117,10,,A03_08671eeb-546d-34e1-9912-8b7973661117,background,0,223,0,train
G:\2025-05-14_videos_annotated\images\A03_08671eeb-546d-34e1-9912-8b7973661117_24.jpg,A03_08671eeb-546d-34e1-9912-8b7973661117,10,,A03_08671eeb-546d-34e1-9912-8b7973661117,background,0,24,0,train
G:\2025-05-14_videos_annotated\images\A03_08671eeb-546d-34e1-9912-8b7973661117_49.jpg,A03_08671eeb-546d-34e1-9912-8b7973661117,10,,A03_08671eeb-546d-34e1-9912-8b7973661117,background,0,49,0,train
G:\2025-05-14_videos_annotated\images\A03_08671eeb-546d-34e1-9912-8b7973661117_74.jpg,A03_08671eeb-546d-34e1-9912-8b7973661117,10,,A03_08671eeb-546d-34e1-9912-8b7973661117,background,0,74,0,train
G:\2025-05-14_videos_annotated\images\A03_08671eeb-546d-34e1-9912-8b7973661117_99.jpg,A03_08671eeb-546d-34e1-9912-8b7973661117,10,,A03_08671eeb-546d-34e1-9912-8b7973661117,background,0,99,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_0.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,0,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_124.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,124,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_149.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,149,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_174.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,174,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_182.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,182,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_184.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,184,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_186.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,186,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_187.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,187,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_188.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,188,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_190.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,190,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_192.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,192,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_193.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,193,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_194.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,194,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_196.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,196,1,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_198.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,198,1,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_199.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,199,1,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_200.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,200,1,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_202.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,202,1,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_204.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,204,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_206.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,206,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_224.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,224,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_24.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,24,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_49.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,49,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_74.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,74,0,train
G:\2025-05-14_videos_annotated\images\A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff_99.jpg,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,25,1,A03_3c98423e-c83e-3eff-a13b-c1232a21e7ff,target,5,99,0,train
G:\2025-05-14_videos_annotated\images\A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f_0.jpg,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,10,,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,background,0,0,0,train
G:\2025-05-14_videos_annotated\images\A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f_124.jpg,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,10,,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,background,0,124,0,train
G:\2025-05-14_videos_annotated\images\A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f_149.jpg,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,10,,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,background,0,149,0,train
G:\2025-05-14_videos_annotated\images\A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f_174.jpg,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,10,,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,background,0,174,0,train
G:\2025-05-14_videos_annotated\images\A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f_199.jpg,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,10,,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,background,0,199,0,train
G:\2025-05-14_videos_annotated\images\A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f_224.jpg,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,10,,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,background,0,224,0,train
G:\2025-05-14_videos_annotated\images\A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f_24.jpg,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,10,,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,background,0,24,0,train
G:\2025-05-14_videos_annotated\images\A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f_49.jpg,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,10,,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,background,0,49,0,train
G:\2025-05-14_videos_annotated\images\A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f_74.jpg,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,10,,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,background,0,74,0,train
G:\2025-05-14_videos_annotated\images\A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f_99.jpg,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,10,,A03_2d5cdbe6-2489-3062-9be8-782fcb8cac5f,background,0,99,0,train
G:\2025-05-14_videos_annotated\images\A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab_0.jpg,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,10,,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,background,0,0,0,train
G:\2025-05-14_videos_annotated\images\A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab_124.jpg,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,10,,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,background,0,124,0,train
G:\2025-05-14_videos_annotated\images\A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab_149.jpg,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,10,,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,background,0,149,0,train
G:\2025-05-14_videos_annotated\images\A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab_174.jpg,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,10,,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,background,0,174,0,train
G:\2025-05-14_videos_annotated\images\A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab_199.jpg,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,10,,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,background,0,199,0,train
G:\2025-05-14_videos_annotated\images\A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab_224.jpg,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,10,,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,background,0,224,0,train
G:\2025-05-14_videos_annotated\images\A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab_24.jpg,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,10,,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,background,0,24,0,train
G:\2025-05-14_videos_annotated\images\A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab_49.jpg,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,10,,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,background,0,49,0,train
G:\2025-05-14_videos_annotated\images\A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab_74.jpg,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,10,,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,background,0,74,0,train
G:\2025-05-14_videos_annotated\images\A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab_99.jpg,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,10,,A03_295e4d7f-64aa-3390-a9ee-9c329779c4ab,background,0,99,0,train
G:\2025-05-14_videos_annotated\images\A03_1abbe500-66cb-3425-b91e-528e7effa815_0.jpg,A03_1abbe500-66cb-3425-b91e-528e7effa815,10,,A03_1abbe500-66cb-3425-b91e-528e7effa815,background,0,0,0,train
G:\2025-05-14_videos_annotated\images\A03_1abbe500-66cb-3425-b91e-528e7effa815_124.jpg,A03_1abbe500-66cb-3425-b91e-528e7effa815,10,,A03_1abbe500-66cb-3425-b91e-528e7effa815,background,0,124,0,train
G:\2025-05-14_videos_annotated\images\A03_1abbe500-66cb-3425-b91e-528e7effa815_149.jpg,A03_1abbe500-66cb-3425-b91e-528e7effa815,10,,A03_1abbe500-66cb-3425-b91e-528e7effa815,background,0,149,0,train
G:\2025-05-14_videos_annotated\images\A03_1abbe500-66cb-3425-b91e-528e7effa815_174.jpg,A03_1abbe500-66cb-3425-b91e-528e7effa815,10,,A03_1abbe500-66cb-3425-b91e-528e7effa815,background,0,174,0,train
G:\2025-05-14_videos_annotated\images\A03_1abbe500-66cb-3425-b91e-528e7effa815_199.jpg,A03_1abbe500-66cb-3425-b91e-528e7effa815,10,,A03_1abbe500-66cb-3425-b91e-528e7effa815,background,0,199,0,train
